emotion,sentence
Neutral,Hard as nails. a real bugger. particularly about money.
Love,It wasn't just the usual liaison: the two of them fell head over heels in love.
Neutral,"But parents, British Aerospace, say no change of heart."
Contempt,"Herbert Hobden (Holzinger) tried hard to keep a stiff upper lip as he was introduced, with his ten-year-old sister, to his new home"
Optimism,"'I expect I shall manage,' she said, determined to look on the bright side."
Fear,"You don't tell me it's because you've got a lump in your throat, or an ache in your heart, or a sensation of nausea in your stomach."
Ambiguous,"Others had, and were experiencing mixed feelings."
Neutral,I told him there were no hard feelings and that I was only thinking of the club.
Contempt,And Marion Aluinn would find her long nose out of joint.
Disapproval,"People with whom one has had personal or professional differences a row or a clash of principle are best avoided because meeting them might demand emotional resources that aren't there, open old wounds, or challenge one's public certainties that in fact feel all too precarious."
Anticipation,My bet is Peachcake'll be pleased as punch.
Disapproval,"In an effort to save face, he adopted a casual attitude hoping that his staff would think that he actually meant to keep his hat on all day long just for the heck of it, like gangsters do in the films."
Love,"As Sheila watched him go, she knew that in spite of the hurtful words he had just spoken she would always have a soft spot for the man."
Joy,The 8 successful trips so far speak volumes.
Anger,I need to let off steam.
Submission,It's steamed up between the layers is that what you're looking at.
Disapproval,"You never saw such a frenzy as her frantic rush to dress herself, me pulling outfits from the wardrobe, she rejecting them as fast as they landed on the bed, trying on and discarding until she stood there in a stew of irritation and indecision in nothing but bra and panties."
Neutral,"If you're good at do-it-yourself, then fine, have a go, if you're not  this particularly applies to the gents, swallow your pride and get somebody in to do it for you."
Joy,How musical the river and how charming the trees whispering sweet nothings as we pass.
Optimism,"His uncle had mentioned every Anglo-Irish family in the district, hoping, he suspected, that he would meet some girl and take a fancy to her."
Neutral,"Devices and Desires, a large concrete and plastic excretion, results from Allen's meditations on the saying, wear your heart on your sleeve."
Optimism,Nutty watched on tenterhooks as Hoomey took in his new situation: the centre of an admiring crowd.
Neutral,"But if by some extraordinary chance you should one day wander into a forest and catch a glimpse of a Minpin, then hold your breath and thank your lucky stars because up to now, so far as I know, no one excepting Little Billy has ever seen one."
Love,I used to think the world of her when she came to stay.
Submission,"Dora accepted these ministrations without protest, but Melissa thought she detected a growing restiveness and a thinly veiled relief when at last they said goodnight and returned to their own room."
Ambiguous,"The Milton Humberside whose looks could make a woman turn weak at the knees, and whose ducted fluorescent shelf units were in use from Hartlepool to Exeter and back again?"
Remorse,Well then at least I'm  they'd bury me with bells on my ankles then.
Neutral,It's probably the aspirin sweating the chill out.
Fear,"I was absolutely in my element, how did I come over, Jannie?"
Neutral,Just feast your eyes on Chichester's winning municipal car park.
Sadness,Men propping up the bar over lunch will bewail the loss of earlier freedoms when they were footloose and fancy free.
Joy,"The eating had ended, and the drinking was in full swing."
Joy,"You're full of the joys of spring at the moment, so make the most of this harmonious period."
Optimism,I expect the other sort have a ball like Bella.
Anticipation,"If attending a wedding or party of close friends, you should have the time of your life"
Sadness,"Me friend over in Norway, she said she's she got over there and sat down and she thought, yes, she's got the Complete Works of Shakespeare, I'll have a whale of a time trying to read it, she picks up the book, it's all in Norwegian."
Joy,Let Your Hair Down' boasts a Beatles riff and a Michael Hutchence vocal.
Neutral,"Right, Sergeant, you take your boy elsewhere and I'll see what jolly Jacko, the life and soul of the party, wants."
Joy,You want to have a good time and paint the town red this weekend.
Sadness,The party is over.
Neutral,Well I said I think he was pulling your leg.
Anticipation,"Pull the other one, Jo, it's got bells on it."
Disapproval,"Mm, well it's supposed, they're designed to do that aren't they, so at the end of it you're ready to throttle them, when you got the punch line it's on telly."
Neutral,"He probably was told to go home and take it easy, you know."
Optimism,"With education, the world is your oyster."
Joy,"Dorothy Snook, of Bristol, will be on cloud nine after a stay at the Hereford Moat Hotel, which includes flying lessons, a balloon flight and a helicopter lesson."
Sadness,"She supposed she was feeling a bit down in the dumps, apprehensive too about celebrating Christmas Day at the Danbys."
Sadness,He had never seen Karr looking so down in the mouth.
Disapproval,"There seems little wrong with that, for we have been living in a fools paradise for years and also depriving the Americans of value."
Joy,He was grinning from ear to ear and pointing his finger up to the flies.
Neutral,The reason why the Cheshire cheesemakers saw fit to add a grinning cat to their product was because the expression to' grin like a Cheshire Cat' was already in use for another reason altogether.
Joy,"Oh, he's on the telly, he must be happy as Larry."
Ambiguous,"Never really bothered too much about that, and I've always been very like erm ooh, la, ha, ha, you think that's funny, er happy go lucky I don't think, I think if I was neurotic"
Sadness,"My heart sinks, the great indefiniteness of the world is spreading through the files like damp."
Joy,Our hockey girls jump for joy as Jane Sixsmith scores the goal that clinched a bronze medal.
Joy,"Chairman all I've heard so far is music to my ears er thank you. I'd like to er say one or two words before er moving the amendment and I, I'm very pleased to to hear that the two are to be incorporated as it were into this one."
Optimism,You will never look back.
Ambiguous,"What, so you'd be sick as a parrot if we went over the moon together?"
Joy,He's as pleased as Punch about it.
Awe,He stares at you in raptures.
Neutral,"Maxine Barrie, the Shirley Bassey lookalike who came out on top in the Granada TV Stars In Your Eyes programme, is appearing tonight at the Shotton Hall Banqueting Suite, Peterlee in a Valentine's Night Special."
Joy,She was in seventh heaven.
Joy,Good god ur Susan will be thrilled to bits if you went again.
Joy,But Princess Di was tickled pink yesterday by this new portrait.
Disapproval,There's this piece of contemporary mythology that the forties are the best time of your life.
Joy,"Anyway, she's on top of the world."
Joy,I'm absolutely walking on air.
Anger,Mark'll go bananas I expect.
Anger,Your harebrained idea of going to the chap instead of me.
Disgust,"No but I'm not used to all the boys like being around and they're really manipulative, you know, and they really, they're really cunning and clever, you know? And I'm not all there, you know?"
Neutral,But a man could go nuts sitting around wondering about what might happen.
Surprise,"The lady with the upright hair who Gloria said had a screw loose, clattered into the bedroom holding out a steaming jug on a tray."
Disapproval,"The scheme had an interior logic to it but in order to see it you had to be, let me see, stark raving mad, I suppose."
Sadness,You must be stir crazy.
Submission,Please don't make me eat my words.
Neutral,"Well despite that Freudian slip there, no they don't take problem owners."
Submission,"If you're not this particularly applies to the gents, swallow your pride and get somebody in to do it for you."
Disapproval,Everything seems to be done by trial and error.
Joy,He was so wide of the mark that it made her smile.
Ambiguous,"The Oistrakhs bow and scrape in evening dress, on Emi-tape."
Neutral,I suppose it was not the done thing for a book of Rambles.
Contempt,"But in this case the routine's got huggered up, if you'll excuse my French, because someone's short-circuited the standard procedure."
Anticipation,"Watch for the fireworks, or gatecrash the party in ten minutes."
Disapproval,"Christ, Arty, watch your language."
Sadness,"My attitude on the block was, they know what they're there for, if they overstep the mark they know what to expect."
Neutral,"The Marine paused, as if to allow time for any of the three to speak out of turn."
Disapproval,We don't stand on ceremony in this house.
Neutral,"If one can speak of a vocal Achilles heel, then Miss Roocroft's is still her cloudy diction."
Neutral,The news that oil prices had shot above forty dollars a barrel set alarm bells ringing in E C headquarters in Brussels.
Disapproval,It was asking for trouble especially if you wore glasses like him.
Love,"He reached the level of the bridge, swung his back to the wall, covering the ladder they had just used as Forster made for the door."
Neutral,"He's bit and bridle, ball and chain, a rope to tether me like any other animal."
Disgust,It's always been the bane of my life that you can eat your way through a tuckshop without gaining a pound while I only have to look at a picture of a cream cake to make the scales groan.
Disapproval,Your link's on the blink.
Remorse,He realised that he'd opened up a can of worms.
Anger,Only I had to carry the can for it.
Fear,"I was terrified of him, but I found myself in a horrible Catch 22 situation."
Fear,There were ominous dark clouds gathering overhead now and a chill wind.
Fear,"There was a cloud on the horizon, however, which worried the Bradleys."
Disapproval,"Still, there shouldn't be any need to let matters come to a head, not if you agree to be sensible and rectify your mistakes."
Love,"Come hell or high water, he'd always managed to get his mother a present."
Contempt,"Everything will come out in the wash, and Flashman will deserve it all."
Remorse,"He was terribly sorry for her, being how she was, but supposed they all had their cross to bear, like Jazz being coloured, and Gary having Stalin for a father."
Aggression,"BettySinclair adopted a' cross that bridge when we come to it' attitude, which means that she wants the back door left open for a sell-out."
Neutral,Was this the crux of the matter?
Neutral,It isn't always easy for anyone to get to the bottom of every detail of a bill er which refers to earlier legislation.
Fear,"When the going gets tough, where will the hostess retreat to?"
Fear,Soon the cat's back and the seal would be high and dry.
Disapproval,He's in dire straits -- can't you see that?
Anger,"After being left in the lurch like that, she'd probably have talked."
Submission,So in fact he knew that he was known as the last resort
Surprise,You heard it could be murder?
Neutral,A necessary evil for patients like Christine Tweddle.
Neutral,"I feel that once parents begin to become too aware of norms, they worry, and therefore unless a child is grossly out of sync, if you like, with their peers, I wouldn't say it would matter, but yes, one would expect a three year old to be talking at one extreme."
Disapproval,"If we go to any local government official and talk to him about local government finance and how the council tax might work, he will say that it is nonsense and a case of trying to muddle through and paper over the cracks simply to make the package a little more presentable for electoral purposes."
Disapproval,Always pass the buck.
Fear,But I am in a pickle when I get one.
Joy,There's one thing about junk food -- it gives you a quick fix of carbohydrates and sugar.
Optimism,Newspaper staff put on a brave face.
Surprise,Saved by the bell.
Neutral,Take care not to scratch the surface on plastic baths.
Fear,Heavy dependence on sponsorship and arts council cash could spell trouble as the recession hits arts budgets.
Surprise,This too may merely serve to let the situation spiral out of control.
Trust,"And never forget, it's an away match, and we're on a sticky wicket."
Anticipation,We're not trying to stir up a hornet 's nest but we do want to let everyone know what we're trying to achieve.
Ambiguous,Runcorn bid to stop the rot.
Neutral,"Maths is absolutely the fundamental stumbling block, isn't it, in a sense?"
Anticipation,But I think it's take the bull by the horns
Neutral,They always take the easy way out.
Neutral,"Just like the tar baby, eh?"
Sadness,The launch day saw a few teething problems.
Contempt,"Though their functions were only 200 yards apart, the thorny issue of who will attend the royal wedding has caused a huge gulf between them."
Contempt,It is inappropriate simply to throw money at these problems in the hope that they will be consequently solved.
Contempt,They were quick to spot the first ripples of concern which have surged into a tide over the past year.
Anticipation,"Hearthwares shall come, in case we need to fight our way out of some tight spot."
Love,"Brothers and sisters, the Maxwell scandal was only the tip of the iceberg."
Disapproval,It would be' an unmitigated disaster' and a course the Government would never follow.
Anticipation,Voice over Oxford's uphill battle against relegation continues tomorrow at Barnsley.
Submission,There will be no justice and no liberation until the vicious circle is broken and the tyranny of the family is smashed.
Neutral,The Boozebuster went off without a hitch.
Anticipation,I'll batten down the hatches.
Remorse,"It was a calculated risk to take a man without forensic experience, but we were looking for a manager primarily."
Optimism,In addition it was to be hoped that Max could come up with some fairly definite cause of death; and it was even possible (if only just) that the surgeon might throw caution to the wind for once and volunteer a tentative approximation of the time it had actually happened.
Anticipation,"Because when you do run across the road, you get to the other side, and you're thinking, good gracious, that was a close shave, I'll have to sit down for a minute, I think I'll have a cup of coffee or something."
Disapproval,Or do you wait till they tire of the taunting and go to release the victim when the coast is clear?
Neutral,"Parents have been selected to become erm, relatively insensitive to signs of distress in the offspring, because erm, as where they cry wolf all the time, and as a result, erm, parents don't take crying as seriously in children as they do in adults."
Disapproval,Not everyone yearns to dice with death.
Fear,"You need the help I can give you because if you unknowingly make a false move or fail to react promptly because you're not sure what to do, your daughter will be dispensed with as being too risky a property."
Fear,"But now, in her present jittery, restless mood, it seemed fraught with danger."
Disapproval,Government can hang on to its defence of corporal punishment only by a hair 's breadth.
Fear,"But here and there some found action on this very camp, and didn't live to tell the tale"
Neutral,"For more information, and a free booklet called' Look Before You Leap',"
Fear,"We're on the edge of what we call a no go area, if we try to sail any closer to the wind the boat will come upright, the sail will flap and we'll slow down and stop and so the best we can make either side of the no go area is known as a beat."
Optimism,"Still, I admit he seems to be able to keep out of harm 's way."
Aggression,A sudden reckless urge to play with fire made her deliberately provoke him.
Ambiguous,"If you believe in a drogue, or sea-anchor, up-hook, scratch-in, and rig one, then ride it out and ride with it and tell me when you sight London Bridge."
Anger,We know employees are being blackmailed with their jobs to risk life and limb so employers can make a fat profit at our expense.
Neutral,"Sharpe, his message in safe hands, was free to return and watch the French."
Fear,So it's best just to be er on the safe side.
Trust,"The first type had power, and safety in numbers."
Anticipation,Russia and Ukraine sail close to the wind on Black Sea fleet.
Sadness,It's her small child who is at stake.
Remorse,Now if he'd just take cover and place some well-aimed bursts with his blaster.
Neutral,Watch your step.
Neutral,Possibly his mother had fallen asleep at the wheel.
Neutral,Forty winks.
Neutral,Then the two cups of decaff before you hit the sack.
Neutral,"The Seychelles lie in the middle of the Indian Ocean, just a few degrees south of the equator."
Neutral,She returned to bed and went out like a light.
Ambiguous,"But tonight they were ready to drop, must sleep."
Neutral,Your mother used to sleep like a log.
Contempt,"Ye gods, even when he is awake all he ever says is let's sleep on it."
Fear,I did not sleep a wink last night for worrying about you and if you are alright.
Love,"Do you make love with your business partner and, to prove I still have my humour, is he your sleeping partner?"
Anticipation,The Oxford West and Abingdon seat is likely to be a neck-and-neck sprint to the finish between the Tories and the Liberal Democrats with Labour a more spirited also-ran.
Sadness,Back to square one again Shel.
Neutral,There now let's put this in the bag.
Neutral,"And if you ever have word for me that may bear fruit, come and ask entry to me wherever I am."
Surprise,The Dalek Killer's led us up a blind alley.
Contempt,"The best-selling sexually explicit blockbuster phenomenon is to do with money, nothing to do with literature."
Neutral,In similar fashion the bottom fell out of the illustrious 1817 sovereign market in the mid-1970s when investors realised that they were paying 50 per cent over the melt price for a coin minted in millions.
Anticipation,Plant says the act'll bring the house down.
Neutral,He looked like the petrol-soaked wreck of a swan come to grief in a polluted river.
Optimism,From what I've heard he's come up in the world since he went to work for Christian Timms.
Neutral,Two goals from Wayne Biggins kept Stoke on course for the Third Division title with a 3-0 home win over Darlington.
Trust,It all but sunk Pompey and put United on the crest of the wave.
Neutral,"Cut your losses, Woolley."
Disapproval,"And talking of police, it's a dead cert that the very day a Neighbourhood Watch leaflet arrives, detailing all the recent burglaries."
Disapproval,"As theories go, that's a dead duck."
Sadness,"She's dead in the water, and out of range of our conventional rescue forces."
Neutral,"Draper says, the dice are loaded against the parents."
Sadness,It's all downhill from now on.
Disapproval,Two graduates of Manchester University draw a blank at the job centre.
Disapproval,And fall flat on your face?'
Disapproval,There is no connection between it and my son's fall from grace as I'm sure you will understand.
Optimism,"I don't, I think it was just a flash in the pan."
Joy,And she passed with flying colours
Joy,"Oxford University's Matthew Syed has got off to a flying start in the Olympic Qualifying tournament in Italy, winning both his opening matches."
Disapproval,"One was that, since she was on a fool 's errand anyway, she wasn't going to dress up for it."
Neutral,But the French auction house has evidently decided to keep its foot in the door of this potentially lucrative market.
Anticipation,"This month, try to get a foothold on freedom."
Neutral,But I'll tell you who Evans has elected front runner.
Neutral,"However, if you think your anger is going to get the better of you, then you'd better be realistic and responsible."
Disapproval,"When master-manufacturers talked of the danger of communism which lurked behind any limitation of the absolute right of employers to hire and fire at will, they meant not social revolution but merely that the right of property and the right of domination were indistinguishable, and a bourgeois society must go to the dogs once interference with property rights was permitted."
Fear,Oh go up in smoke
Optimism,You've got it made if only you'd realise it.
Awe,"The animal was tethered in the byre, its hugely muscled body down on its knees like a sacred beast from Indian mythology."
Anticipation,President-elect Clinton takes office in January after a landslide victory over Bush earlier this month.
Joy,The young members section has come on in leaps and bounds in the last few years.
Optimism,She'd live to fight another day.
Optimism,It sounds like the Fire Service has come a long way from the early years.
Sadness,The insurance business cycle is also at a low ebb.
Neutral,I'm not fighting anybody just because they've decided to make a comeback.
Neutral,"At this point, technique becomes personal preference, you can either make the cut in the stock first and then prepare the bud for insertion."
Optimism,She was determined to make a go of this new house
Anticipation,"To put that off, she needed to make headway that would be noticed in the real world."
Anticipation,"With six shoes under 37, Diadora is likely to make inroads into the budget end of the market."
Love,"They're a safe investment, but in love you can make a killing overnight."
Optimism,This was make or break.
Anticipation,"That, she thought, will be the moment of truth."
Submission,Twenty years of police service had convinced him that Murphy 's law applied especially to police operations
Submission,We're not you know we're not getting anywhere.
Awe,Nothing succeeds like success and it applies perfectly to the Sainsbury family
Neutral,"For a moment, she was looking directly out of the picture."
Anticipation,It is only through my imaginative shuffling of the aces that we are able to stay ahead of the pack.
Neutral,Well pack it in both of you.
Neutral,Do I pass muster?
Neutral,Californians are outsiders over half have travelled thousands of miles for a place in the sun.
Disgust,"But tomorrow never happens and, worse, the wife does the one thing absolutely guaranteed to put the kibosh on the whole matter."
Disgust,"Inflation seemed like a pyrrhic victory, almost a tease."
Joy,A proper rags to riches saga.
Neutral,I opened my eyes to the sun riding high over Fair Hill.
Optimism,I'm sure your spirits will rise to the occasion.
Awe,Not only does it meet his own policy expectations but it does so in language supplied by Mr Greenspan in congressional testimony which would allow Mr Greenspan to run rings around his Administration critics.
Anticipation,"She grabbed Steve's sleeve, their eyes in unison watched the ball sail through the air and high over the net."
Sadness,Fraser Digby was trying to save the day when he gave away a penalty
Trust,We sink or swim together.
Neutral,"You know, sky 's the limit with this."
Neutral,The video for the smash hit Walking On Broken Glass.
Neutral,"As the season draws to a thrilling climax, with Swansea and Llanelli both bearing down on a possible league and cup double, Pontypridd and Newport get their chance to throw a spanner in the works at the Bank Holiday back-to-back Schweppes Cup semi-finals at the Cardiff Arms Park."
Anticipation,I don't think they will throw in the towel as they did against Pontypool last year.
Contempt,"He was like that, always had to be top dog."
Love,The newly-married couple on the up and up.
Optimism,Little big man shows his stature Ian Ridley watches the champion weather the storm with mixture of shots to mount a spirited defence
Optimism,Win-win describes one of three possible outcomes from a transaction between people.
Neutral,"In the spring of 1956 both London and Washington decided that all they could do for the moment was to allow the Aswan offer to "" wither on the vine ""."
Joy,"He used a wooden spoon to stir the mixture, whistling softly."
Anger,I hope she doesn't throw the empty glass out into the void to follow its contents; pity the hapless passer-by under that little bolt from the blue.
Surprise,Then I got a phone call out of the blue from Mandy the next morning.
Surprise,Mrs Friar's jaw dropped.
Surprise,"Good God, he thought, I should like to do something that would really make her jump out of her skin for once."
Joy,"It won't knock your socks off, but any new species of parrot is pretty exciting."
Neutral,"But they were some well on, lo and behold, could open the door two or three minutes late."
Surprise,"Indeed, there is a tint of punk rock as in a couple of places and this will raise eyebrows vocalist Billy Nicholson sounds like the dreaded John Lydon."
Anger,"John was standing rooted to the spot, his expression stony."
Surprise,"If you're still not convinced, seeing is believing."
Anticipation,"Manville stopped dead in his tracks, whirling to confront the guard."
Love,"What he actually wanted to say was, I'm struck dumb with love."
Surprise,"I can't believe it, wonders will never cease."
Disapproval,"And as for you, Fiona, words fail me."
Disapproval,"If a person were to announce to a policeman that he was about to go to the house of his sworn enemy and beat the living daylights out of him, it would not make sense if the law were that the policeman had to follow the suspect to the locus in quo and only then arrest him."
Neutral,Elves and Men had come to blows in the past and might do so again.
Trust,"The woman has had to fight tooth and nail, probably, and work much harder, to get at an equal level with the man, so I would suspect that I'm getting value for and quality there by going for the woman."
Anticipation,Without it there could be a free for all and if abolition goes through the employers may well find themselves having to resort to some form of cooperative or wages club in its place.
Anger,Officers at Darlington Borough Council say the gloves are off in the battle for compensation over the town's 12m Dolphin Centre sports complex.
Neutral,Combination techniques between two adversaries are pretty much tit for tat.
Anger,Southwold are up in arms with it.
Sadness,"Poor man was through the wars, wasn't he?"
Neutral,"You've been in the wars rather, haven't you?"
Neutral,"It is, and no doubt will remain, a moot point whether, in these events, the old parliaments were abolished and replaced by novel creations, or whether a pre-existing parliament was merely renamed."
Anticipation,"I always seem to, I think we, we were always at Stanford Hall that we must, it was a must that we have a good programme because if somebody comes and there's nothing doing, they think well."
Neutral,The European parliament is at odds with the Commission and member states over the draft directive covering working conditions for employees sent to another EC country under contract to provide a specific service.
Aggression,They are not after an olive branch.
Submission,"She wanted to go home, but it was out of the question."
Anger,"Over my dead body,' Mitch stormed."
Aggression,Are you trying to pick a fight?
Disapproval,"After all, we're trying to pick holes in it."
Optimism,"He has not given up the running battle between them over the question of form, which started out with his victory on accommodation."
Joy,"I have constructed a kitchen out of flatpacks with only one minor nervous breakdown and one remarkable shouting match involving my wife, her mother, myself and how a length of pine beading ought to be attached to several wall cupboards."
Ambiguous,We could easily quite often sit on the fence and say the sun may come out or it may stay cloudy all day.
Submission,But I don't want to split hairs.
Ambiguous,It's water under the bridge now.
Submission,We have to wipe the slate clean and start all over again.
Disapproval,A smalltime crook who got caught in the crossfire when I was working on a story a couple of years ago.
Anticipation,"Their mission was less ambitious than the day before, just to clear the air over the battlefield."
Disapproval,"Last night, you were dead set against the idea."
Disapproval,"Are you playing devil 's advocate, by any chance?"
Neutral,"I'll give you where's the kid... she's your daughter, Roy Ryan, and you fought hammer and tongs to marry her mother."
Contempt,"Even now her husband's dead, he's not willing to let bygones be bygones."
Neutral,"Though he never forgave me, or my mother for having helped me, both into his world and out of it, he was sufficiently my father to let sleeping dogs lie."
Anger,For almost 18 months Margaret Thatcher and Nigel Lawson have been at loggerheads over sterling.
Disapproval,If he had known what fate lay in store for his beloved Boks perhaps State President F.W. de Klerk would have decided against holding a midweek reception for the three teams about to lock horns for the supremacy of the Southern Hemisphere.
Contempt,"Between him and the famous pathologist now arriving, there was no love lost."
Disapproval,It is an absolute red herring and they are just trying to make a mountain out of a molehill.
Neutral,His production of Mrs Warren's Profession for the National Theatre in 1971 steered cunningly clear of melodrama; his Much Ado About Nothing for the Royal Shakespeare Company in 1971 featured white parasols and sun-dappled lawns that seemed to evoke the world of Turgenev.
Neutral,So the order's on so I've got to try and argue the toss with her.
Aggression,"We tricked them into holding fire until we were about a mile out, then all hell broke loose."
Aggression,Once again the battle lines are drawn.
Trust,"His officer had recommended him, noticing he was not like everyone else, that he never buckled, and, in life's battle of wills, could stare down any enemy, overcome any weakness."
Disapproval,The real bone of contention as if you didn't know is money.
Contempt,So Barry Brittlebank has a bone to pick with my grammar.
Disgust,Last night's developments came just 24 hours after today revealed how Diana had agreed a secret pact with Charles to bury the hatchet for the sake of appearances.
Submission,"Resisting the temptation to call his bluff by pretending someone was with her, she asked how he had got on in Glasgow."
Anger,Everyone ought to be up in arms about it.
Anger,Why don't you guys get off my back?
Anger,"Donald and Jean had disappeared and Mary was in a black mood, striding along and making old Donald gasp."
Optimism,No longer are my positive and negative leads just hanging free about to blow a fuse or allow my personal electricity to seep away.
Anger,I'm so cheesed off with you lot can't we do anything about it?
Anger,"Who's offside, who's offside for crying out loud?"
Neutral,But er you know used to cut it out of er big chunks.
Contempt,"Little kids eat you alive, they want so much physically and emotionally."
Submission,"All right, all right, no need to get your knickers in a twist."
Anger,"But vegetarianism is purely a matter of choice and there's no people that harp on about you shouldn't eat meat, get on my nerves."
Neutral,"Give it a rest, Jack."
Anticipation,"However, one party source said: The gloves are off."
Surprise,"Mrs Mangle would be mortified, Harold horrified... and Scott would go spare."
Anticipation,"Once that happens, according to the Meat and Livestock Commission, the floodgates will open and prices will go through the roof."
Disgust,"Most have been exterminated, and good riddance to them."
Surprise,Joe thought it was wiser to help her get up and fight her hard luck than to harp on it.
Anger,And people can also get pretty hot under the collar on Central Weekend.
Disapproval,"Conversely, you'll kick yourself if you waste your energy on a petty distraction just because it's a point of pride."
Neutral,"I was going to make a song and dance when we got the 100th subscriber, but 98's near enough."
Contempt,"Usually she flashed back with a Mind Your Own Business, if anyone asked her a question."
Anger,He appears to have a quick temper and uses his hands continually when he speaks.
Anger,It made her want to rant and rave and kick out at something - preferably him.
Anger,She was ready to scream blue murder when the flap landed on her tender slit.
Anger,Matilda was also beginning to see red.
Anger,"He held his temper on a pretty short fuse, and it was as liable to explode in the face of a headmaster as in that of a dustman."
Joy,Their steamed up windows excited George.
Anger,It's a subject that makes my blood boil and disappointments have left me a blister short of swearing.
Disapproval,"Surely a barber didn't hold his client in this way, was he perhaps going too far."
Contempt,Pills take the biscuit.
Disapproval,"That hadn't been the last straw, far from it."
Optimism,"Well, well, well, another humanoid to try my patience."
Anticipation,From July onwards the town of Whaddon had waited with bated breath.
Fear,She was a bundle of nerves.
Disgust,"Like a cat on hot bricks, ain't she?"
Love,"Yeah, it's not good to hold your breath for too long, mind."
Neutral,"Consequently, some doctors believe that ignorance is bliss."
Anticipation,"He longed for action, yearned to be trusted with high responsibilities, to undertake prodigious feats requiring a cool head, a stout heart and nerves of steel."
Disgust,He woke with pins and needles in his foot and Lee poking him.
Fear,I'm scared stiff I'm going to lose touch with my children.
Neutral,"Drama Zoff detailed the drama behind the scenes as Gazza was kept on tenterhooks for the past four days, wondering whether he would make his Italian debut."
Neutral,"Early in the 1970s, the BBC Horizon film' Joey', based on the book' Tongue Tied', a true life autobiography by Joey Deacon about his life in a mental hospital."
Fear,"He also gives us a measured degree of self doubt mixed with evasiveness and a realistic progression from a young, ambitious eager beaver on the music hall circuit to a very old man languishing with his memories in Switzerland."
Anticipation,I was on the edge of my seat for most of the time but nobody could deny we deserved this result.
Joy,The fans at fever pitch.
Neutral,All this when her only motivation was to go the extra mile under all circumstances.
Ambiguous,"Hold your horses, Mrs Parvis."
Anticipation,He was raring to go.
Sadness,Wimbledon had been expected to bear the brunt of the FA's displeasure because of their past record.
Anger,You are beside yourself.
Disgust,"Mind, I get bored to tears with doing this every damn day."
Contempt,And you still have a chip on your shoulder.
Disapproval,Male speaker It's a bit close to home.
Aggression,"If the unholy alliance in favour of the National Curriculum is likely to come apart at the seams over the issue of resource, so also, given the very different aspirations of those who support its introduction, there is likely to be a parting of the ways over principles."
Sadness,"When Lucy suggested a quick drink, Jay was cut to the quick and described herself, with sparse and ironic regret, as working late."
Love,So what's changed?' Deep down he knew.
Anticipation,"Alyssia watched from the sidelines, feeling like a fish out of water, watching Piers from under her lashes."
Anger,Maybe this was in a fit of pique when the relationship was down rather than up.
Neutral,"'OK, A apple,' said Rufus, conscious of his Freudian slip."
Anticipation,Might get it out of your system.
Anger,I don't think you should let yourself get worked up like that.
Optimism,But he was a tough boy and he determined not to go to pieces.
Optimism,I can fight for whatever I want and I'm hard as nails.
Love,"Sam was obviously head over heels in love with is new bride, and Martha was clearly content."
Ambiguous,"How did Andres Valenzuela get sucked in, and what prompted his change of heart?"
Ambiguous,Paul didn't keep a stiff upper lip because that was the way that he thought that Christians should behave.
Optimism,"Look on the bright side, you're braver than I was."
Love,"When the band strikes up, when you start up that village and folk cheer, there is a big lump in your throat, and that is when you are paid back."
Ambiguous,Vic reads this article with mixed feelings.
Neutral,"No hard feelings, I can understand your concern."
Submission,Has Richard put your nose out of joint?
Joy,He's as pleased as Punch about it.
Disapproval,"The only person that didn't was Fish, who had to save face and went on claiming it was true."
Love,"I'll always have a soft spot for Wigan, my memories of 1984-85 are priceless."
Ambiguous,Body language can speak volumes on these occasions.
Anticipation,Others have behavioural problems and need to let off steam in a safe and controlled setting.
Anger,And the brothers who are getting all steamed up about their driving test.
Anger,In a stew?
Disapproval,So swallow your pride and don't make an enemy of your own child.
Love,Otley put his arm round my shoulders as we made our way to Claro and began to whisper sweet nothings.
Anticipation,"She was not going to dig up ancient grievances or remind Gloria of days gone by, when she used to come into the Watermen with half a dozen different gentlemen-friends in tow or, which was even worse, unaccompanied and on the look-out for a lonely man who might take a fancy to her."
Submission,"He'll be on tenterhooks the whole time, and muttering to the parents things."
Neutral,But if you were' with it' you watched the Saturday pop show Thank Your Lucky Stars which was hosted by Brian Matthew.
Love,And they both think the world of Heather.
Remorse,Prince Michael of Kent has launched a thinly veiled attack on freeloading members of the royal family.
Fear,The idea makes me feel weak at the knees.
Surprise,"Mike was wearing a jester's outfit with bells on, one leg red and the other leg yellow."
Neutral,Chill out with winter fashion.
Joy,I was in my element.
Optimism,"If you are just happy to dream, feast your eyes on this selection of motoring marvels, as seen through the eyes of our motoring correspondent, Peter Jones."
Anticipation,The dog hunt is in full swing on a fresh scent.
Joy,"On a good day, it only takes a glimpse of blue sky or a tree in blossom to make me feel full of the joys of spring and in love with life"
Neutral,"So to meself I sey, where shall I have a ball?"
Anticipation,I think. you really ought to let your hair down and become one horny bitch.
Surprise,"But old Walter, he was such a jolly soul-so bright, and loud, and down-to-earth, so much the life and soul of the party. Not at all my idea of a writer."
Fear,Tonight we're going to paint the town red.
Surprise,The overiding feeling among local people is one of relief that the party is over.
Joy,"It's all right, I'm only pulling your leg."
Neutral,Pull the other one.
Anticipation,They always saw his jokes before he got to the punch line.
